k;b;psi_s;phi;Sr_l;Sr_g
8.339355E-13;3.589844E+00;-5.741211E-01;4.110352E-01;8.442383E-02;1.881348E-01
2.401855E-13;6.089844E+00;-5.116211E-01;4.735352E-01;1.031738E-01;1.318848E-01
7.151855E-13;4.089844E+00;-2.616211E-01;4.235352E-01;1.781738E-01;5.688477E-02
4.776855E-13;3.089844E+00;-3.866211E-01;4.485352E-01;6.567383E-02;9.438477E-02
9.526855E-13;5.089844E+00;-1.366211E-01;4.985352E-01;1.406738E-01;1.693848E-01
9.174805E-14;3.464844E+00;-5.584961E-01;4.204102E-01;1.547363E-01;1.928223E-01
5.667480E-13;5.464844E+00;-3.084961E-01;4.704102E-01;7.973633E-02;1.178223E-01
3.292480E-13;6.464844E+00;-4.334961E-01;4.954102E-01;1.922363E-01;8.032227E-02
8.042480E-13;4.464844E+00;-1.834961E-01;4.454102E-01;1.172363E-01;1.553223E-01
2.104980E-13;5.964844E+00;-1.209961E-01;4.829102E-01;6.098633E-02;1.740723E-01
6.854980E-13;3.964844E+00;-3.709961E-01;4.329102E-01;1.359863E-01;9.907227E-02
4.479980E-13;4.964844E+00;-2.459961E-01;4.079102E-01;9.848633E-02;6.157227E-02
9.229980E-13;6.964844E+00;-4.959961E-01;4.579102E-01;1.734863E-01;1.365723E-01
1.511230E-13;6.714844E+00;-2.772461E-01;4.391602E-01;1.266113E-01;1.834473E-01
6.261230E-13;4.714844E+00;-5.272461E-01;4.891602E-01;5.161133E-02;1.084473E-01
3.886230E-13;3.714844E+00;-1.522461E-01;4.641602E-01;1.641113E-01;7.094727E-02
8.636230E-13;5.714844E+00;-4.022461E-01;4.141602E-01;8.911133E-02;1.459473E-01
2.698730E-13;4.214844E+00;-4.647461E-01;4.516602E-01;7.036133E-02;1.646973E-01
7.448730E-13;6.214844E+00;-2.147461E-01;4.016602E-01;1.453613E-01;8.969727E-02
5.073730E-13;5.214844E+00;-5.897461E-01;4.266602E-01;1.078613E-01;5.219727E-02
9.823730E-13;3.214844E+00;-3.397461E-01;4.766602E-01;1.828613E-01;1.271973E-01
7.690430E-14;4.402344E+00;-3.319336E-01;4.625977E-01;5.395508E-02;1.014160E-01
5.519043E-13;6.402344E+00;-5.819336E-01;4.125977E-01;1.289551E-01;1.764160E-01
3.144043E-13;5.402344E+00;-2.069336E-01;4.375977E-01;9.145508E-02;1.389160E-01
7.894043E-13;3.402344E+00;-4.569336E-01;4.875977E-01;1.664551E-01;6.391602E-02
1.956543E-13;6.902344E+00;-3.944336E-01;4.250977E-01;1.477051E-01;1.201660E-01
6.706543E-13;4.902344E+00;-1.444336E-01;4.750977E-01;7.270508E-02;1.951660E-01
4.331543E-13;3.902344E+00;-5.194336E-01;4.500977E-01;1.852051E-01;1.576660E-01
9.081543E-13;5.902344E+00;-2.694336E-01;4.000977E-01;1.102051E-01;8.266602E-02
1.362793E-13;5.652344E+00;-4.881836E-01;4.938477E-01;8.208008E-02;9.204102E-02
6.112793E-13;3.652344E+00;-2.381836E-01;4.438477E-01;1.570801E-01;1.670410E-01
3.737793E-13;4.652344E+00;-3.631836E-01;4.188477E-01;1.195801E-01;1.295410E-01
8.487793E-13;6.652344E+00;-1.131836E-01;4.688477E-01;1.945801E-01;5.454102E-02
2.550293E-13;3.152344E+00;-1.756836E-01;4.063477E-01;1.383301E-01;1.107910E-01
7.300293E-13;5.152344E+00;-4.256836E-01;4.563477E-01;6.333008E-02;1.857910E-01
4.925293E-13;6.152344E+00;-3.006836E-01;4.813477E-01;1.758301E-01;1.482910E-01
9.675293E-13;4.152344E+00;-5.506836E-01;4.313477E-01;1.008301E-01;7.329102E-02
1.065918E-13;6.277344E+00;-1.600586E-01;4.594727E-01;1.242676E-01;6.860352E-02
5.815918E-13;4.277344E+00;-4.100586E-01;4.094727E-01;1.992676E-01;1.436035E-01
3.440918E-13;3.277344E+00;-2.850586E-01;4.344727E-01;8.676758E-02;1.811035E-01
8.190918E-13;5.277344E+00;-5.350586E-01;4.844727E-01;1.617676E-01;1.061035E-01
2.253418E-13;4.777344E+00;-5.975586E-01;4.469727E-01;1.805176E-01;8.735352E-02
7.003418E-13;6.777344E+00;-3.475586E-01;4.969727E-01;1.055176E-01;1.623535E-01
4.628418E-13;5.777344E+00;-4.725586E-01;4.719727E-01;1.430176E-01;1.998535E-01
9.378418E-13;3.777344E+00;-2.225586E-01;4.219727E-01;6.801758E-02;1.248535E-01
1.659668E-13;3.527344E+00;-4.413086E-01;4.782227E-01;9.614258E-02;5.922852E-02
6.409668E-13;5.527344E+00;-1.913086E-01;4.282227E-01;1.711426E-01;1.342285E-01
4.034668E-13;6.527344E+00;-5.663086E-01;4.032227E-01;5.864258E-02;1.717285E-01
8.784668E-13;4.527344E+00;-3.163086E-01;4.532227E-01;1.336426E-01;9.672852E-02
2.847168E-13;5.027344E+00;-2.538086E-01;4.157227E-01;1.898926E-01;7.797852E-02
7.597168E-13;3.027344E+00;-5.038086E-01;4.657227E-01;1.148926E-01;1.529785E-01
5.222168E-13;4.027344E+00;-1.288086E-01;4.907227E-01;1.523926E-01;1.904785E-01
9.972168E-13;6.027344E+00;-3.788086E-01;4.407227E-01;7.739258E-02;1.154785E-01
5.278320E-14;4.003906E+00;-4.188477E-01;4.151367E-01;1.843262E-01;1.157715E-01
5.277832E-13;6.003906E+00;-1.688477E-01;4.651367E-01;1.093262E-01;1.907715E-01
2.902832E-13;5.003906E+00;-5.438477E-01;4.901367E-01;1.468262E-01;1.532715E-01
7.652832E-13;3.003906E+00;-2.938477E-01;4.401367E-01;7.182617E-02;7.827148E-02
1.715332E-13;6.503906E+00;-2.313477E-01;4.776367E-01;9.057617E-02;9.702148E-02
6.465332E-13;4.503906E+00;-4.813477E-01;4.276367E-01;1.655762E-01;1.720215E-01
4.090332E-13;3.503906E+00;-1.063477E-01;4.026367E-01;5.307617E-02;1.345215E-01
8.840332E-13;5.503906E+00;-3.563477E-01;4.526367E-01;1.280762E-01;5.952148E-02
1.121582E-13;5.753906E+00;-1.375977E-01;4.463867E-01;1.749512E-01;1.063965E-01
5.871582E-13;3.753906E+00;-3.875977E-01;4.963867E-01;9.995117E-02;1.813965E-01
3.496582E-13;4.753906E+00;-2.625977E-01;4.713867E-01;1.374512E-01;1.438965E-01
8.246582E-13;6.753906E+00;-5.125977E-01;4.213867E-01;6.245117E-02;6.889648E-02
2.309082E-13;3.253906E+00;-5.750977E-01;4.588867E-01;1.187012E-01;8.764648E-02
7.059082E-13;5.253906E+00;-3.250977E-01;4.088867E-01;1.937012E-01;1.626465E-01
4.684082E-13;6.253906E+00;-4.500977E-01;4.338867E-01;8.120117E-02;1.251465E-01
9.434082E-13;4.253906E+00;-2.000977E-01;4.838867E-01;1.562012E-01;5.014648E-02
8.247070E-14;6.128906E+00;-4.969727E-01;4.120117E-01;1.421387E-01;8.295898E-02
5.574707E-13;4.128906E+00;-2.469727E-01;4.620117E-01;6.713867E-02;1.579590E-01
3.199707E-13;3.128906E+00;-3.719727E-01;4.870117E-01;1.796387E-01;1.954590E-01
7.949707E-13;5.128906E+00;-1.219727E-01;4.370117E-01;1.046387E-01;1.204590E-01
2.012207E-13;4.628906E+00;-1.844727E-01;4.995117E-01;8.588867E-02;6.420898E-02
6.762207E-13;6.628906E+00;-4.344727E-01;4.495117E-01;1.608887E-01;1.392090E-01
4.387207E-13;5.628906E+00;-3.094727E-01;4.245117E-01;1.233887E-01;1.767090E-01
9.137207E-13;3.628906E+00;-5.594727E-01;4.745117E-01;1.983887E-01;1.017090E-01
1.418457E-13;3.878906E+00;-3.407227E-01;4.307617E-01;1.515137E-01;7.358398E-02
6.168457E-13;5.878906E+00;-5.907227E-01;4.807617E-01;7.651367E-02;1.485840E-01
3.793457E-13;6.878906E+00;-2.157227E-01;4.557617E-01;1.890137E-01;1.860840E-01
8.543457E-13;4.878906E+00;-4.657227E-01;4.057617E-01;1.140137E-01;1.110840E-01
2.605957E-13;5.378906E+00;-4.032227E-01;4.682617E-01;5.776367E-02;5.483398E-02
7.355957E-13;3.378906E+00;-1.532227E-01;4.182617E-01;1.327637E-01;1.298340E-01
4.980957E-13;4.378906E+00;-5.282227E-01;4.432617E-01;9.526367E-02;1.673340E-01
9.730957E-13;6.378906E+00;-2.782227E-01;4.932617E-01;1.702637E-01;9.233398E-02
6.762695E-14;5.191406E+00;-2.704102E-01;4.541992E-01;7.416992E-02;1.415527E-01
5.426270E-13;3.191406E+00;-5.204102E-01;4.041992E-01;1.491699E-01;6.655273E-02
3.051270E-13;4.191406E+00;-1.454102E-01;4.291992E-01;1.116699E-01;1.040527E-01
7.801270E-13;6.191406E+00;-3.954102E-01;4.791992E-01;1.866699E-01;1.790527E-01
1.863770E-13;3.691406E+00;-4.579102E-01;4.416992E-01;1.304199E-01;1.603027E-01
6.613770E-13;5.691406E+00;-2.079102E-01;4.916992E-01;5.541992E-02;8.530273E-02
4.238770E-13;6.691406E+00;-5.829102E-01;4.666992E-01;1.679199E-01;1.228027E-01
8.988770E-13;4.691406E+00;-3.329102E-01;4.166992E-01;9.291992E-02;1.978027E-01
1.270020E-13;4.941406E+00;-5.516602E-01;4.854492E-01;6.479492E-02;1.321777E-01
6.020020E-13;6.941406E+00;-3.016602E-01;4.354492E-01;1.397949E-01;5.717773E-02
3.645020E-13;5.941406E+00;-4.266602E-01;4.104492E-01;1.022949E-01;9.467773E-02
8.395020E-13;3.941406E+00;-1.766602E-01;4.604492E-01;1.772949E-01;1.696777E-01
2.457520E-13;6.441406E+00;-1.141602E-01;4.229492E-01;1.585449E-01;1.509277E-01
7.207520E-13;4.441406E+00;-3.641602E-01;4.729492E-01;8.354492E-02;7.592773E-02
4.832520E-13;3.441406E+00;-2.391602E-01;4.979492E-01;1.960449E-01;1.134277E-01
9.582520E-13;5.441406E+00;-4.891602E-01;4.479492E-01;1.210449E-01;1.884277E-01
9.731445E-14;3.066406E+00;-2.235352E-01;4.698242E-01;9.760742E-02;1.743652E-01
5.723145E-13;5.066406E+00;-4.735352E-01;4.198242E-01;1.726074E-01;9.936523E-02
3.348145E-13;6.066406E+00;-3.485352E-01;4.448242E-01;6.010742E-02;6.186523E-02
8.098145E-13;4.066406E+00;-5.985352E-01;4.948242E-01;1.351074E-01;1.368652E-01
2.160645E-13;5.566406E+00;-5.360352E-01;4.323242E-01;1.913574E-01;1.931152E-01
6.910645E-13;3.566406E+00;-2.860352E-01;4.823242E-01;1.163574E-01;1.181152E-01
4.535645E-13;4.566406E+00;-4.110352E-01;4.573242E-01;1.538574E-01;8.061523E-02
9.285645E-13;6.566406E+00;-1.610352E-01;4.073242E-01;7.885742E-02;1.556152E-01
1.566895E-13;6.816406E+00;-3.797852E-01;4.885742E-01;1.069824E-01;1.649902E-01
6.316895E-13;4.816406E+00;-1.297852E-01;4.385742E-01;1.819824E-01;8.999023E-02
3.941895E-13;3.816406E+00;-5.047852E-01;4.135742E-01;6.948242E-02;5.249023E-02
8.691895E-13;5.816406E+00;-2.547852E-01;4.635742E-01;1.444824E-01;1.274902E-01
2.754395E-13;4.316406E+00;-3.172852E-01;4.010742E-01;1.632324E-01;1.837402E-01
7.504395E-13;6.316406E+00;-5.672852E-01;4.510742E-01;8.823242E-02;1.087402E-01
5.129395E-13;5.316406E+00;-1.922852E-01;4.760742E-01;1.257324E-01;7.124023E-02
9.879395E-13;3.316406E+00;-4.422852E-01;4.260742E-01;5.073242E-02;1.462402E-01
6.020508E-14;6.660156E+00;-1.727539E-01;4.268555E-01;6.831055E-02;8.881836E-02
5.352051E-13;4.660156E+00;-4.227539E-01;4.768555E-01;1.433105E-01;1.638184E-01
2.977051E-13;3.660156E+00;-2.977539E-01;4.518555E-01;1.058105E-01;1.263184E-01
7.727051E-13;5.660156E+00;-5.477539E-01;4.018555E-01;1.808105E-01;5.131836E-02
1.789551E-13;4.160156E+00;-4.852539E-01;4.643555E-01;1.620605E-01;1.075684E-01
6.539551E-13;6.160156E+00;-2.352539E-01;4.143555E-01;8.706055E-02;1.825684E-01
4.164551E-13;5.160156E+00;-3.602539E-01;4.393555E-01;1.995605E-01;1.450684E-01
8.914551E-13;3.160156E+00;-1.102539E-01;4.893555E-01;1.245605E-01;7.006836E-02
1.195801E-13;3.410156E+00;-3.915039E-01;4.081055E-01;7.768555E-02;9.819336E-02
5.945801E-13;5.410156E+00;-1.415039E-01;4.581055E-01;1.526855E-01;1.731934E-01
3.570801E-13;6.410156E+00;-5.165039E-01;4.831055E-01;1.151855E-01;1.356934E-01
8.320801E-13;4.410156E+00;-2.665039E-01;4.331055E-01;1.901855E-01;6.069336E-02
2.383301E-13;5.910156E+00;-3.290039E-01;4.956055E-01;1.339355E-01;1.169434E-01
7.133301E-13;3.910156E+00;-5.790039E-01;4.456055E-01;5.893555E-02;1.919434E-01
4.758301E-13;4.910156E+00;-2.040039E-01;4.206055E-01;1.714355E-01;1.544434E-01
9.508301E-13;6.910156E+00;-4.540039E-01;4.706055E-01;9.643555E-02;7.944336E-02
8.989258E-14;4.535156E+00;-2.508789E-01;4.487305E-01;1.104980E-01;5.600586E-02
5.648926E-13;6.535156E+00;-5.008789E-01;4.987305E-01;1.854980E-01;1.310059E-01
3.273926E-13;5.535156E+00;-1.258789E-01;4.737305E-01;7.299805E-02;1.685059E-01
8.023926E-13;3.535156E+00;-3.758789E-01;4.237305E-01;1.479980E-01;9.350586E-02
2.086426E-13;6.035156E+00;-4.383789E-01;4.612305E-01;1.667480E-01;7.475586E-02
6.836426E-13;4.035156E+00;-1.883789E-01;4.112305E-01;9.174805E-02;1.497559E-01
4.461426E-13;3.035156E+00;-5.633789E-01;4.362305E-01;1.292480E-01;1.872559E-01
9.211426E-13;5.035156E+00;-3.133789E-01;4.862305E-01;5.424805E-02;1.122559E-01
1.492676E-13;5.285156E+00;-5.946289E-01;4.174805E-01;1.011230E-01;6.538086E-02
6.242676E-13;3.285156E+00;-3.446289E-01;4.674805E-01;1.761230E-01;1.403809E-01
3.867676E-13;4.285156E+00;-4.696289E-01;4.924805E-01;6.362305E-02;1.778809E-01
8.617676E-13;6.285156E+00;-2.196289E-01;4.424805E-01;1.386230E-01;1.028809E-01
2.680176E-13;3.785156E+00;-1.571289E-01;4.799805E-01;1.948730E-01;8.413086E-02
7.430176E-13;5.785156E+00;-4.071289E-01;4.299805E-01;1.198730E-01;1.591309E-01
5.055176E-13;6.785156E+00;-2.821289E-01;4.049805E-01;1.573730E-01;1.966309E-01
9.805176E-13;4.785156E+00;-5.321289E-01;4.549805E-01;8.237305E-02;1.216309E-01
7.504883E-14;3.597656E+00;-5.086914E-01;4.909180E-01;1.737793E-01;1.520996E-01
5.500488E-13;5.597656E+00;-2.586914E-01;4.409180E-01;9.877930E-02;7.709961E-02
3.125488E-13;6.597656E+00;-3.836914E-01;4.159180E-01;1.362793E-01;1.145996E-01
7.875488E-13;4.597656E+00;-1.336914E-01;4.659180E-01;6.127930E-02;1.895996E-01
1.937988E-13;5.097656E+00;-1.961914E-01;4.034180E-01;1.175293E-01;1.333496E-01
6.687988E-13;3.097656E+00;-4.461914E-01;4.534180E-01;1.925293E-01;5.834961E-02
4.312988E-13;4.097656E+00;-3.211914E-01;4.784180E-01;8.002930E-02;9.584961E-02
9.062988E-13;6.097656E+00;-5.711914E-01;4.284180E-01;1.550293E-01;1.708496E-01
1.344238E-13;6.347656E+00;-2.899414E-01;4.721680E-01;1.831543E-01;1.614746E-01
6.094238E-13;4.347656E+00;-5.399414E-01;4.221680E-01;1.081543E-01;8.647461E-02
3.719238E-13;3.347656E+00;-1.649414E-01;4.471680E-01;1.456543E-01;1.239746E-01
8.469238E-13;5.347656E+00;-4.149414E-01;4.971680E-01;7.065430E-02;1.989746E-01
2.531738E-13;4.847656E+00;-3.524414E-01;4.346680E-01;8.940430E-02;1.427246E-01
7.281738E-13;6.847656E+00;-1.024414E-01;4.846680E-01;1.644043E-01;6.772461E-02
4.906738E-13;5.847656E+00;-4.774414E-01;4.596680E-01;5.190430E-02;1.052246E-01
9.656738E-13;3.847656E+00;-2.274414E-01;4.096680E-01;1.269043E-01;1.802246E-01
1.047363E-13;5.722656E+00;-4.618164E-01;4.815430E-01;1.503418E-01;1.849121E-01
5.797363E-13;3.722656E+00;-2.118164E-01;4.315430E-01;7.534180E-02;1.099121E-01
3.422363E-13;4.722656E+00;-5.868164E-01;4.065430E-01;1.878418E-01;7.241211E-02
8.172363E-13;6.722656E+00;-3.368164E-01;4.565430E-01;1.128418E-01;1.474121E-01
2.234863E-13;3.222656E+00;-2.743164E-01;4.190430E-01;5.659180E-02;1.661621E-01
6.984863E-13;5.222656E+00;-5.243164E-01;4.690430E-01;1.315918E-01;9.116211E-02
4.609863E-13;6.222656E+00;-1.493164E-01;4.940430E-01;9.409180E-02;5.366211E-02
9.359863E-13;4.222656E+00;-3.993164E-01;4.440430E-01;1.690918E-01;1.286621E-01
1.641113E-13;4.472656E+00;-1.180664E-01;4.502930E-01;1.409668E-01;1.942871E-01
6.391113E-13;6.472656E+00;-3.680664E-01;4.002930E-01;6.596680E-02;1.192871E-01
4.016113E-13;5.472656E+00;-2.430664E-01;4.252930E-01;1.784668E-01;8.178711E-02
8.766113E-13;3.472656E+00;-4.930664E-01;4.752930E-01;1.034668E-01;1.567871E-01
2.828613E-13;6.972656E+00;-5.555664E-01;4.377930E-01;8.471680E-02;1.755371E-01
7.578613E-13;4.972656E+00;-3.055664E-01;4.877930E-01;1.597168E-01;1.005371E-01
5.203613E-13;3.972656E+00;-4.305664E-01;4.627930E-01;1.222168E-01;6.303711E-02
9.953613E-13;5.972656E+00;-1.805664E-01;4.127930E-01;1.972168E-01;1.380371E-01
5.649414E-14;5.988281E+00;-5.614258E-01;4.709961E-01;1.110840E-01;7.416992E-02
5.314941E-13;3.988281E+00;-3.114258E-01;4.209961E-01;1.860840E-01;1.491699E-01
2.939941E-13;4.988281E+00;-4.364258E-01;4.459961E-01;7.358398E-02;1.866699E-01
7.689941E-13;6.988281E+00;-1.864258E-01;4.959961E-01;1.485840E-01;1.116699E-01
1.752441E-13;3.488281E+00;-1.239258E-01;4.334961E-01;1.673340E-01;5.541992E-02
6.502441E-13;5.488281E+00;-3.739258E-01;4.834961E-01;9.233398E-02;1.304199E-01
4.127441E-13;6.488281E+00;-2.489258E-01;4.584961E-01;1.298340E-01;1.679199E-01
8.877441E-13;4.488281E+00;-4.989258E-01;4.084961E-01;5.483398E-02;9.291992E-02
1.158691E-13;4.238281E+00;-2.801758E-01;4.897461E-01;1.017090E-01;8.354492E-02
5.908691E-13;6.238281E+00;-5.301758E-01;4.397461E-01;1.767090E-01;1.585449E-01
3.533691E-13;5.238281E+00;-1.551758E-01;4.147461E-01;6.420898E-02;1.960449E-01
8.283691E-13;3.238281E+00;-4.051758E-01;4.647461E-01;1.392090E-01;1.210449E-01
2.346191E-13;6.738281E+00;-4.676758E-01;4.022461E-01;1.954590E-01;6.479492E-02
7.096191E-13;4.738281E+00;-2.176758E-01;4.522461E-01;1.204590E-01;1.397949E-01
4.721191E-13;3.738281E+00;-5.926758E-01;4.772461E-01;1.579590E-01;1.772949E-01
9.471191E-13;5.738281E+00;-3.426758E-01;4.272461E-01;8.295898E-02;1.022949E-01
8.618164E-14;3.863281E+00;-3.583008E-01;4.553711E-01;5.952148E-02;1.069824E-01
5.611816E-13;5.863281E+00;-1.083008E-01;4.053711E-01;1.345215E-01;1.819824E-01
3.236816E-13;6.863281E+00;-4.833008E-01;4.303711E-01;9.702148E-02;1.444824E-01
7.986816E-13;4.863281E+00;-2.333008E-01;4.803711E-01;1.720215E-01;6.948242E-02
2.049316E-13;5.363281E+00;-2.958008E-01;4.428711E-01;1.532715E-01;8.823242E-02
6.799316E-13;3.363281E+00;-5.458008E-01;4.928711E-01;7.827148E-02;1.632324E-01
4.424316E-13;4.363281E+00;-1.708008E-01;4.678711E-01;1.907715E-01;1.257324E-01
9.174316E-13;6.363281E+00;-4.208008E-01;4.178711E-01;1.157715E-01;5.073242E-02
1.455566E-13;6.113281E+00;-2.020508E-01;4.866211E-01;6.889648E-02;1.163574E-01
6.205566E-13;4.113281E+00;-4.520508E-01;4.366211E-01;1.438965E-01;1.913574E-01
3.830566E-13;3.113281E+00;-3.270508E-01;4.116211E-01;1.063965E-01;1.538574E-01
8.580566E-13;5.113281E+00;-5.770508E-01;4.616211E-01;1.813965E-01;7.885742E-02
2.643066E-13;4.613281E+00;-5.145508E-01;4.241211E-01;1.251465E-01;9.760742E-02
7.393066E-13;6.613281E+00;-2.645508E-01;4.741211E-01;5.014648E-02;1.726074E-01
5.018066E-13;5.613281E+00;-3.895508E-01;4.991211E-01;1.626465E-01;1.351074E-01
9.768066E-13;3.613281E+00;-1.395508E-01;4.491211E-01;8.764648E-02;6.010742E-02
7.133789E-14;4.800781E+00;-1.473633E-01;4.100586E-01;1.462402E-01;1.655762E-01
5.463379E-13;6.800781E+00;-3.973633E-01;4.600586E-01;7.124023E-02;9.057617E-02
3.088379E-13;5.800781E+00;-2.723633E-01;4.850586E-01;1.837402E-01;5.307617E-02
7.838379E-13;3.800781E+00;-5.223633E-01;4.350586E-01;1.087402E-01;1.280762E-01
1.900879E-13;6.300781E+00;-5.848633E-01;4.975586E-01;5.249023E-02;1.843262E-01
6.650879E-13;4.300781E+00;-3.348633E-01;4.475586E-01;1.274902E-01;1.093262E-01
4.275879E-13;3.300781E+00;-4.598633E-01;4.225586E-01;8.999023E-02;7.182617E-02
9.025879E-13;5.300781E+00;-2.098633E-01;4.725586E-01;1.649902E-01;1.468262E-01
1.307129E-13;5.050781E+00;-4.286133E-01;4.288086E-01;1.368652E-01;1.749512E-01
6.057129E-13;3.050781E+00;-1.786133E-01;4.788086E-01;6.186523E-02;9.995117E-02
3.682129E-13;4.050781E+00;-5.536133E-01;4.538086E-01;1.743652E-01;6.245117E-02
8.432129E-13;6.050781E+00;-3.036133E-01;4.038086E-01;9.936523E-02;1.374512E-01
2.494629E-13;3.550781E+00;-2.411133E-01;4.663086E-01;8.061523E-02;1.937012E-01
7.244629E-13;5.550781E+00;-4.911133E-01;4.163086E-01;1.556152E-01;1.187012E-01
4.869629E-13;6.550781E+00;-1.161133E-01;4.413086E-01;1.181152E-01;8.120117E-02
9.619629E-13;4.550781E+00;-3.661133E-01;4.913086E-01;1.931152E-01;1.562012E-01
1.010254E-13;6.925781E+00;-3.192383E-01;4.131836E-01;1.790527E-01;1.327637E-01
5.760254E-13;4.925781E+00;-5.692383E-01;4.631836E-01;1.040527E-01;5.776367E-02
3.385254E-13;3.925781E+00;-1.942383E-01;4.881836E-01;1.415527E-01;9.526367E-02
8.135254E-13;5.925781E+00;-4.442383E-01;4.381836E-01;6.655273E-02;1.702637E-01
2.197754E-13;4.425781E+00;-3.817383E-01;4.756836E-01;1.228027E-01;1.515137E-01
6.947754E-13;6.425781E+00;-1.317383E-01;4.256836E-01;1.978027E-01;7.651367E-02
4.572754E-13;5.425781E+00;-5.067383E-01;4.006836E-01;8.530273E-02;1.140137E-01
9.322754E-13;3.425781E+00;-2.567383E-01;4.506836E-01;1.603027E-01;1.890137E-01
1.604004E-13;3.175781E+00;-4.754883E-01;4.444336E-01;1.884277E-01;1.421387E-01
6.354004E-13;5.175781E+00;-2.254883E-01;4.944336E-01;1.134277E-01;6.713867E-02
3.979004E-13;6.175781E+00;-3.504883E-01;4.694336E-01;1.509277E-01;1.046387E-01
8.729004E-13;4.175781E+00;-1.004883E-01;4.194336E-01;7.592773E-02;1.796387E-01
2.791504E-13;5.675781E+00;-1.629883E-01;4.569336E-01;9.467773E-02;1.608887E-01
7.541504E-13;3.675781E+00;-4.129883E-01;4.069336E-01;1.696777E-01;8.588867E-02
5.166504E-13;4.675781E+00;-2.879883E-01;4.319336E-01;5.717773E-02;1.233887E-01
9.916504E-13;6.675781E+00;-5.379883E-01;4.819336E-01;1.321777E-01;1.983887E-01
6.391602E-14;3.332031E+00;-3.075195E-01;4.842773E-01;1.356934E-01;6.596680E-02
5.389160E-13;5.332031E+00;-5.575195E-01;4.342773E-01;6.069336E-02;1.409668E-01
3.014160E-13;6.332031E+00;-1.825195E-01;4.092773E-01;1.731934E-01;1.784668E-01
7.764160E-13;4.332031E+00;-4.325195E-01;4.592773E-01;9.819336E-02;1.034668E-01
1.826660E-13;5.832031E+00;-3.700195E-01;4.217773E-01;7.944336E-02;8.471680E-02
6.576660E-13;3.832031E+00;-1.200195E-01;4.717773E-01;1.544434E-01;1.597168E-01
4.201660E-13;4.832031E+00;-4.950195E-01;4.967773E-01;1.169434E-01;1.972168E-01
8.951660E-13;6.832031E+00;-2.450195E-01;4.467773E-01;1.919434E-01;1.222168E-01
1.232910E-13;6.582031E+00;-5.262695E-01;4.530273E-01;1.450684E-01;5.659180E-02
5.982910E-13;4.582031E+00;-2.762695E-01;4.030273E-01;7.006836E-02;1.315918E-01
3.607910E-13;3.582031E+00;-4.012695E-01;4.280273E-01;1.825684E-01;1.690918E-01
8.357910E-13;5.582031E+00;-1.512695E-01;4.780273E-01;1.075684E-01;9.409180E-02
2.420410E-13;4.082031E+00;-2.137695E-01;4.405273E-01;5.131836E-02;7.534180E-02
7.170410E-13;6.082031E+00;-4.637695E-01;4.905273E-01;1.263184E-01;1.503418E-01
4.795410E-13;5.082031E+00;-3.387695E-01;4.655273E-01;8.881836E-02;1.878418E-01
9.545410E-13;3.082031E+00;-5.887695E-01;4.155273E-01;1.638184E-01;1.128418E-01
9.360352E-14;5.457031E+00;-1.043945E-01;4.936523E-01;1.872559E-01;9.877930E-02
5.686035E-13;3.457031E+00;-3.543945E-01;4.436523E-01;1.122559E-01;1.737793E-01
3.311035E-13;4.457031E+00;-2.293945E-01;4.186523E-01;1.497559E-01;1.362793E-01
8.061035E-13;6.457031E+00;-4.793945E-01;4.686523E-01;7.475586E-02;6.127930E-02
2.123535E-13;3.957031E+00;-5.418945E-01;4.061523E-01;9.350586E-02;1.175293E-01
6.873535E-13;5.957031E+00;-2.918945E-01;4.561523E-01;1.685059E-01;1.925293E-01
4.498535E-13;6.957031E+00;-4.168945E-01;4.811523E-01;5.600586E-02;1.550293E-01
9.248535E-13;4.957031E+00;-1.668945E-01;4.311523E-01;1.310059E-01;8.002930E-02
1.529785E-13;4.707031E+00;-4.481445E-01;4.749023E-01;1.778809E-01;8.940430E-02
6.279785E-13;6.707031E+00;-1.981445E-01;4.249023E-01;1.028809E-01;1.644043E-01
3.904785E-13;5.707031E+00;-5.731445E-01;4.499023E-01;1.403809E-01;1.269043E-01
8.654785E-13;3.707031E+00;-3.231445E-01;4.999023E-01;6.538086E-02;5.190430E-02
2.717285E-13;6.207031E+00;-2.606445E-01;4.374023E-01;1.216309E-01;1.081543E-01
7.467285E-13;4.207031E+00;-5.106445E-01;4.874023E-01;1.966309E-01;1.831543E-01
5.092285E-13;3.207031E+00;-1.356445E-01;4.624023E-01;8.413086E-02;1.456543E-01
9.842285E-13;5.207031E+00;-3.856445E-01;4.124023E-01;1.591309E-01;7.065430E-02
7.875977E-14;6.394531E+00;-4.090820E-01;4.483398E-01;1.052246E-01;1.948730E-01
5.537598E-13;4.394531E+00;-1.590820E-01;4.983398E-01;1.802246E-01;1.198730E-01
3.162598E-13;3.394531E+00;-5.340820E-01;4.733398E-01;6.772461E-02;8.237305E-02
7.912598E-13;5.394531E+00;-2.840820E-01;4.233398E-01;1.427246E-01;1.573730E-01
1.975098E-13;4.894531E+00;-3.465820E-01;4.608398E-01;1.989746E-01;1.761230E-01
6.725098E-13;6.894531E+00;-5.965820E-01;4.108398E-01;1.239746E-01;1.011230E-01
4.350098E-13;5.894531E+00;-2.215820E-01;4.358398E-01;1.614746E-01;6.362305E-02
9.100098E-13;3.894531E+00;-4.715820E-01;4.858398E-01;8.647461E-02;1.386230E-01
